[aist#0:0/pcm_s16le @ 0000020d101f3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-units-B-pause020.wav':
  Duration: 00:00:17.90, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.199958   TARGET:-23 LUFS    M: -21.1 S: -20.1     I: -17.9 LUFS       LRA:   2.2 LU  FTPK: -12.4 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.299958   TARGET:-23 LUFS    M: -22.8 S: -20.1     I: -18.0 LUFS       LRA:   2.4 LU  FTPK: -54.5 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.399958   TARGET:-23 LUFS    M: -25.3 S: -20.3     I: -18.1 LUFS       LRA:   2.4 LU  FTPK: -59.9 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.499958   TARGET:-23 LUFS    M: -33.7 S: -21.1     I: -18.1 LUFS       LRA:   2.8 LU  FTPK: -75.5 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.599958   TARGET:-23 LUFS    M: -72.3 S: -22.1     I: -18.1 LUFS       LRA:   2.8 LU  FTPK: -58.6 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.699958   TARGET:-23 LUFS    M: -36.5 S: -22.5     I: -18.1 LUFS       LRA:   3.0 LU  FTPK: -17.8 dBFS  TPK:  -5.0 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.799958   TARGET:-23 LUFS    M: -21.1 S: -21.8     I: -18.1 LUFS       LRA:   3.8 LU  FTPK:  -4.9 dBFS  TPK:  -4.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.899958   TARGET:-23 LUFS    M: -18.8 S: -22.2     I: -18.1 LUFS       LRA:   4.5 LU  FTPK:  -8.4 dBFS  TPK:  -4.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 6.999958   TARGET:-23 LUFS    M: -18.4 S: -22.6     I: -18.1 LUFS       LRA:   4.8 LU  FTPK: -12.0 dBFS  TPK:  -4.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.099958   TARGET:-23 LUFS    M: -17.2 S: -22.3     I: -18.1 LUFS       LRA:   4.9 LU  FTPK: -10.4 dBFS  TPK:  -4.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.199958   TARGET:-23 LUFS    M: -17.5 S: -22.1     I: -18.1 LUFS       LRA:   4.9 LU  FTPK:  -6.9 dBFS  TPK:  -4.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.299958   TARGET:-23 LUFS    M: -18.1 S: -22.8     I: -18.1 LUFS       LRA:   5.0 LU  FTPK:  -3.9 dBFS  TPK:  -3.9 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.399958   TARGET:-23 LUFS    M: -16.4 S: -22.1     I: -18.0 LUFS       LRA:   4.9 LU  FTPK:  -2.4 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.499958   TARGET:-23 LUFS    M: -17.0 S: -22.0     I: -18.0 LUFS       LRA:   4.9 LU  FTPK:  -5.8 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.599958   TARGET:-23 LUFS    M: -17.6 S: -21.6     I: -18.0 LUFS       LRA:   4.9 LU  FTPK:  -3.0 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.699958   TARGET:-23 LUFS    M: -16.8 S: -21.1     I: -18.0 LUFS       LRA:   4.9 LU  FTPK:  -3.2 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.799958   TARGET:-23 LUFS    M: -19.0 S: -21.1     I: -18.0 LUFS       LRA:   4.9 LU  FTPK: -16.3 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.899958   TARGET:-23 LUFS    M: -19.7 S: -21.1     I: -18.0 LUFS       LRA:   4.9 LU  FTPK: -23.5 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 7.999958   TARGET:-23 LUFS    M: -19.7 S: -20.8     I: -18.1 LUFS       LRA:   4.8 LU  FTPK:  -7.9 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.099958   TARGET:-23 LUFS    M: -20.6 S: -20.5     I: -18.1 LUFS       LRA:   4.8 LU  FTPK:  -8.4 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.199958   TARGET:-23 LUFS    M: -20.2 S: -20.4     I: -18.1 LUFS       LRA:   4.8 LU  FTPK:  -4.9 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.299958   TARGET:-23 LUFS    M: -20.0 S: -20.4     I: -18.1 LUFS       LRA:   4.8 LU  FTPK:  -8.5 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.399958   TARGET:-23 LUFS    M: -21.1 S: -20.3     I: -18.2 LUFS       LRA:   4.8 LU  FTPK: -12.9 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 8.499958   TARGET:-23 LUFS    M: -19.4 S: -19.8     I: -18.2 LUFS       LRA:   4.8 LU  FTPK:  -4.2 dBFS  TPK:  -2.4 dBFS
