[aist#0:0/pcm_s16le @ 00000211b1ad3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-pause020-v1.wav':
  Duration: 00:00:49.75, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -7.2 dBFS  TPK:  -7.2 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.199958   TARGET:-23 LUFS    M: -20.7 S: -18.7     I: -17.7 LUFS       LRA:   1.2 LU  FTPK: -38.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.299958   TARGET:-23 LUFS    M: -22.1 S: -19.0     I: -17.8 LUFS       LRA:   1.2 LU  FTPK: -46.4 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.399958   TARGET:-23 LUFS    M: -31.3 S: -19.2     I: -17.8 LUFS       LRA:   1.2 LU  FTPK: -49.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.499958   TARGET:-23 LUFS    M: -55.6 S: -19.7     I: -17.8 LUFS       LRA:   1.3 LU  FTPK: -48.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.599958   TARGET:-23 LUFS    M: -42.4 S: -20.3     I: -17.8 LUFS       LRA:   1.7 LU  FTPK: -23.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.699958   TARGET:-23 LUFS    M: -23.6 S: -20.1     I: -17.9 LUFS       LRA:   1.8 LU  FTPK:  -7.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.799958   TARGET:-23 LUFS    M: -21.8 S: -20.2     I: -17.9 LUFS       LRA:   2.3 LU  FTPK:  -9.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.899958   TARGET:-23 LUFS    M: -21.7 S: -20.4     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -19.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 6.999958   TARGET:-23 LUFS    M: -20.3 S: -20.4     I: -18.0 LUFS       LRA:   2.8 LU  FTPK:  -7.8 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.099958   TARGET:-23 LUFS    M: -23.0 S: -20.6     I: -18.0 LUFS       LRA:   2.9 LU  FTPK: -19.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.199958   TARGET:-23 LUFS    M: -20.2 S: -20.4     I: -18.1 LUFS       LRA:   3.0 LU  FTPK:  -4.0 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.299958   TARGET:-23 LUFS    M: -18.2 S: -20.0     I: -18.1 LUFS       LRA:   3.0 LU  FTPK:  -4.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.399958   TARGET:-23 LUFS    M: -16.6 S: -19.5     I: -18.0 LUFS       LRA:   2.9 LU  FTPK:  -7.0 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.499958   TARGET:-23 LUFS    M: -15.3 S: -19.1     I: -18.0 LUFS       LRA:   2.9 LU  FTPK:  -5.8 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.599958   TARGET:-23 LUFS    M: -15.9 S: -19.0     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -6.6 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.699958   TARGET:-23 LUFS    M: -15.9 S: -18.8     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -4.9 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.799958   TARGET:-23 LUFS    M: -16.4 S: -19.0     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -6.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.899958   TARGET:-23 LUFS    M: -17.8 S: -19.0     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -9.4 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 7.999958   TARGET:-23 LUFS    M: -17.9 S: -19.3     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -7.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.099958   TARGET:-23 LUFS    M: -17.5 S: -19.0     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -5.5 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.199958   TARGET:-23 LUFS    M: -17.7 S: -18.8     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -6.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.299958   TARGET:-23 LUFS    M: -17.3 S: -18.8     I: -17.9 LUFS       LRA:   2.9 LU  FTPK:  -8.5 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.399958   TARGET:-23 LUFS    M: -17.7 S: -18.9     I: -17.8 LUFS       LRA:   2.7 LU  FTPK: -11.9 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.499958   TARGET:-23 LUFS    M: -18.2 S: -18.9     I: -17.9 LUFS       LRA:   2.7 LU  FTPK:  -6.7 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.599958   TARGET:-23 LUFS    M: -19.8 S: -19.1     I: -17.9 LUFS       LRA:   2.7 LU  FTPK:  -8.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.699958   TARGET:-23 LUFS    M: -21.4 S: -19.2     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -45.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.799958   TARGET:-23 LUFS    M: -22.3 S: -19.2     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -43.6 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.899958   TARGET:-23 LUFS    M: -29.7 S: -19.3     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -44.1 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 8.999958   TARGET:-23 LUFS    M: -45.6 S: -19.6     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -26.1 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.099958   TARGET:-23 LUFS    M: -28.8 S: -19.6     I: -17.9 LUFS       LRA:   2.7 LU  FTPK: -10.1 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.199958   TARGET:-23 LUFS    M: -24.3 S: -19.5     I: -18.0 LUFS       LRA:   2.7 LU  FTPK:  -9.5 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.299958   TARGET:-23 LUFS    M: -20.8 S: -19.2     I: -18.0 LUFS       LRA:   2.7 LU  FTPK:  -7.0 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.399958   TARGET:-23 LUFS    M: -19.6 S: -19.1     I: -18.0 LUFS       LRA:   2.7 LU  FTPK:  -6.3 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.499958   TARGET:-23 LUFS    M: -18.9 S: -19.0     I: -18.0 LUFS       LRA:   2.7 LU  FTPK: -10.6 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.599958   TARGET:-23 LUFS    M: -16.7 S: -18.5     I: -18.0 LUFS       LRA:   2.7 LU  FTPK:  -1.2 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.699958   TARGET:-23 LUFS    M: -17.7 S: -18.7     I: -18.0 LUFS       LRA:   2.7 LU  FTPK: -16.9 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.799958   TARGET:-23 LUFS    M: -18.0 S: -18.7     I: -18.0 LUFS       LRA:   2.7 LU  FTPK: -10.1 dBFS  TPK:  -1.2 dBFS
[Parsed_ebur128_0 @ 00000211b1aee5c0] t: 9.899958   TARGET:-23 LUFS    M: -15.6 S: -18.1     I: -18.0 LUFS       LRA:   2.7 LU  FTPK:  -1.3 dBFS  TPK:  -1.2 dBFS
